,avg_total_cooking_time,Difficulty
0,8.75,Simple
1,16.666666666666668,Difficult
2,5.0,Simple
3,5.0,Simple
4,15.3125,Difficult
5,11.25,Simple
6,4.444444444444445,Simple
7,3.75,Simple
8,5.0,Simple
9,31.666666666666668,Difficult
10,16.875,Difficult
11,6.875,Simple
12,26.666666666666668,Difficult
13,2.6666666666666665,Simple
14,10.0,Simple
15,5.0,Simple
16,41.666666666666664,Difficult
17,20.083333333333332,Difficult
18,10.0,Simple
19,35.0,Difficult
20,30.833333333333332,Difficult
21,11.25,Simple
22,7.5,Simple
23,68.125,Difficult
24,6.25,Simple
25,5.0,Simple
26,24.375,Difficult
27,9.375,Simple
28,36.5,Difficult
29,10.625,Simple
30,53.75,Difficult
31,3.75,Simple
32,5.0,Simple
33,18.333333333333332,Difficult
34,7.5,Simple
35,6.5,Simple
36,23.333333333333332,Difficult
37,11.666666666666666,Simple
38,18.75,Difficult
39,3.3333333333333335,Simple
40,10.0,Simple
41,3.125,Simple
42,16.875,Difficult
43,5.0,Simple
44,6.25,Simple
45,3.3333333333333335,Simple
46,5.0,Simple
47,5.0,Simple
